file_num,file_name
10870,함풍년제명백자용무늬접시
10871,백자청화꽃무늬조롱박모양병
10872,백자난초대나무무늬병
10873,백자풀벌레무늬항아리
10874,백자산수물고기무늬병
10875,홍각선사탑비조각
10876,작은탑
10877,사자무늬수막새
10878,선림원동종
10879,석가모니불
1087,회의
10880,약사불
10881,비로자나불
10882,백자매화대나무산수무늬항아리
10883,교의
10884,빗접
10885,보살이그려진번
10886,버드나무무늬통모양병
10887,잔과잔받침
10888,문수보살
10889,관음보살
1088,국가기구
10890,관음보살
10891,치미
10892,석관
10893,물고기무늬암키와
10894,은제도금팔찌
10895,구름봉황무늬꽃모양대접
10896,원숭이토끼무늬항아리
10897,귀룡모양주자
10898,보살
10899,미륵보살
1089,국가기원설
108,신어
10900,부처의생애가표현된비상
10901,소를키운영척이야기거울
10902,탑지석
10903,향로
10904,정병
10905,영월창령사터나한
10906,문수보살
10907,인종시책
10908,함
10909,청동인
1090,국가론
10910,삼국사기
10911,단원풍속화첩
10912,유점사종
10913,담무갈지장보살현신도
10914,금강산민화병풍
10915,산모양필세
10916,남여
10917,관동팔경첩
10918,평생도
10919,남구만초상
1091,국가목적
10920,화성도
10921,동래부사접왜사도
10922,혜원화첩
10923,팔걸이
10924,곡운구곡도첩
10925,김하종필설악산도
10926,신사임당초충도
10927,청풍부원군상여
10928,준경묘
10929,영경묘제기
1092,국가방문
10930,왕녀복란태실석함과도자기
10931,다듬잇돌
10932,지통
10933,반짇고리
10934,곡식신상
10935,사자모양걸개
10936,나전칠기함
10937,단종보인
10938,정순왕후보인
10939,허목초상
1093,국가보훈사업
10940,설매와설피
10941,방패
10942,주칠공양구
10943,신생아욕조
10944,쇠뿔모양손잡이단지
10945,박산향로
10946,청자인물무늬주전자
10947,모란덩굴무늬매병
10948,청백자주전자
10949,청화백자항아리
1094,국가사업
10950,투채완
10951,사계절산수여름
10952,청자삼족향로
10953,청백자매병
10954,청자다구병
10955,청자양이옥호춘병
10956,송시열초상
10957,책거리도
10958,기축년진찬도
10959,숭정전진연도
1095,국가승인
10960,무신년진찬도
10961,책거리도
10962,백동자도
10963,문자도
10964,초상화제작과정재현
10965,뚜껑굽다리접시
10966,뚜껑세발접시
10967,굽다리목항아리
10968,아미타팔대보살
10969,화엄경그림
1096,국가양면설
10970,오백나한
10971,십장생무늬팔걸이
10972,삼층탁자
10973,호족반
10974,경상
10975,서안
10976,머릿장
10977,곽분양행락도
10978,책거리도
10979,금궤도
1097,국가연합
10980,송도기행첩
10981,매화초옥도
10982,한강과임진강을여행하며그린경치
10983,적벽부도
10984,달빛소나무아래를거닐다
10985,서원에서즐기는모임
10986,사간원관리들의모임
10987,화각함
10988,삼층장
10989,이층농
1098,국가유형
10990,간돌검
10991,초충도
10992,어미닭과병아리
10993,포도
10994,어미개와강아지
10995,소
10996,새와풀
10997,저승사자
10998,철화분청사기
10999,모란무늬자라병
1099,국가이익
109,실질형태소
10,교서권
11000,넝쿨무늬항아리
11001,모란무늬장군
11002,귀얄분장분청사기
11003,분장무늬사발
11004,참외모양병
11005,주자
11006,사자모양향로
11007,연꽃넝쿨무늬매병
11008,칠보무늬향로
11009,조선전기의청화백자
1100,국가정책
11010,청동정형향로
11011,목간
11012,청자완
11013,청자첩화매화문철반문접시
11014,청백자편형주자
11015,주칠획화문발
11016,청동제주방용기
11017,청자양각팔괘문향로
11018,청자음각칠보문마상배
11019,청자첩화연화문화형접시
1101,국가행정
11020,도카이도53역의풍경과이야기들
11021,구름과학
11022,보주무늬단지
11023,닭모양주둥이꽃병
11024,기예천
11025,소상팔경도
11026,긁는개
11027,홍백매화
11028,조는새
11029,대나무
1102,국가형태
11030,고양이와참새
11031,월매도
11032,용맹한호랑이
11033,꽃가지
11034,꽃과나비
11035,도시대왕
11036,현왕
11037,청자연꽃넝쿨무늬주전자
11038,분청사기연꽃넝쿨무늬병
11039,백자향꽂이와주전자
1103,국교단절
11040,백자대나무모양병
11041,백자철화용무늬항아리
11042,영조후궁영빈이씨인장
11043,부처
11044,광배와대좌
11045,여성
11046,발우
11047,나뭇잎무늬차솥
11048,갈유사이도호
11049,백유철화파도화훼문장경병
1104,국교회복
11050,청자낭자입상
11051,청자상감운학문대접
11052,금장다치
11053,백자채색송죽매문접시
11054,일본의병풍
11055,겐지모노가타리화첩
11056,이채초상
11057,윤급초상
11058,화개현의별장
11059,누각에서즐기는모임
1105,국무부
11060,여산에서바라본폭포
11061,눈속에길떠나는선비
11062,풍악도첩
11063,강산무진도
11064,감산사미륵보살과아미타불
11065,비로자나불
11066,부처
11067,아미타삼존불
11068,관음보살
11069,연가칠년이새겨진부처
1106,국민국가
11070,악기를연주하는천인
11071,황복사터삼층석탑에서나온순금불상
11072,약사불
11073,반가사유상
11074,반가사유상
11075,화장묘
11076,누암리식허리띠장식
11077,사천왕전
11078,철불
11079,팔부중
1107,국민대회
11080,함통6년명금구
11081,사리호
11082,보상화무늬기와
11083,짐승얼굴무늬기와
11084,사냥무늬벽돌
11085,연꽃가지모양향로
11086,물가풍경무늬정병
11087,나원리오층석탑사리구
11088,숙신공주묘출토화장품그릇
11089,원빈홍씨묘출토화장품그릇
1108,국민정부
11090,거울걸이
11091,구름용무늬항아리
11092,구름용무늬항아리
11093,병
11094,매화대나무무늬항아리
11095,연꽃무늬항아리
11096,달항아리
11097,모란넝쿨무늬항아리
11098,시가있는접시
11099,끈무늬병
1109,국민회의파
110,ㅆ쌍시옷
11100,철화백자
11101,조선중기의백자
11102,풀꽃무늬병
11103,포도원숭이무늬항아리
11104,연꽃넝쿨무늬합
11105,구름용무늬항아리
11106,연꽃물고기무늬병
11107,분청사기실
11108,상감기법분청사기
11109,낙타
1110,국방상
11110,술단지
11111,녹유토기
11112,금동관
11113,말머리모양뿔잔
11114,굽다리접시
11115,금관과금허리띠
11116,굵은고리귀걸이
11117,관모와관꾸미개
11118,봉수형유리병
11119,식리총신발
1111,국병
11120,금목걸이
11121,경천사십층석탑
11122,월광사원랑선사탑비
11123,소상팔경시첩
11124,태자사낭공대사비석
11125,연꽃넝쿨무늬대접
11126,난초무늬항아리
11127,매화대나무새무늬항아리
11128,장생무늬항아리
11129,줄무늬항아리
1112,국상학
11130,전기의상감백자
11131,모란나비무늬편병
11132,순백자의아름다움
11133,항아리
11134,보살
11135,부처
11136,금동불감
11137,칠기혼례용품
11138,천불도벽화
11139,세라피스상
1113,국제분쟁
11140,연꽃에서태어나는보살상
11141,천부상
11142,손잡이달린항아리
11143,목제인형
11144,복희와여와
11145,구슬무늬그릇
11146,새머리장식항아리
11147,철제농기구
11148,철제무기
11149,말갖춤
1114,국제신탁통치제도
11150,화폐류
11151,복골
11152,손칼
11153,새무늬청동기
11154,다호리널무덤
11155,장옥
11156,금제허리띠고리
11157,부처
11158,금령총금관
11159,천흥사종
1115,국제심사위원회
11160,감은사동탑사리함
11161,공양탑
